cond,weight(g),femur(mm)
no_light,0.196,5.7
no_light,0.145,5.5
no_light,0.232,5.1
no_light,0.185,5.05
no_light,0.147,4.8
no_light,0.108,4.55
no_light,0.132,4.3
no_light,0.132,4.7
no_light,0.142,5.1
no_light,0.142,5.5
no_light,0.128,5.2
no_light,0.131,5
no_light,0.13,5.3
no_light,0.115,4.5
no_light,0.121,4.7
light,0.209,5.15
light,0.175,4.75
light,0.196,5.05
light,0.223,5.35
light,0.244,5.6
light,0.156,4.25
light,0.176,4.45
light,0.283,4.9
light,0.18,4.85
light,0.157,4.55
light,0.211,5.25
light,0.213,5.75
light,0.181,4.7
light,0.295,6
light,0.15,4.6
light,0.158,5.05
light,0.147,4.1
light,0.344,5.3
light,0.178,5.3
light,0.202,4.6
light,0.188,5
light,0.27,5.5
light,0.189,5.55
