Condition,Dv,Dh,Dfz,Rt,Prey
Light,16,19,4,8,NaN
No Light,19,27,4.5,7.5,NaN
Light,12,13,4.5,5.5,NaN
No Light,25,22,5,8,NaN
Light,17,11,2.5,8,NaN
No Light,27,26,6.5,9,NaN
Light,13,12.5,4,6,NaN
No Light,32,23,6,13,NaN
Light,12,13.5,4,5,NaN
No Light,32,25,6,11,NaN
Light,16,15.5,4.5,5,NaN
No Light,31,32,6,9,NaN
Light,14.5,10.5,2.5,5.5,NaN
No Light,18,18.5,4,6,NaN
Light,16,15,4.5,7,NaN
No Light,28,22,6,18,NaN
Light,36,30,8.5,10,NaN
No Light,37,39,5.5,11,NaN
Light,17,23,4,6,NaN
No Light,38,22,6,11,NaN
Light,29,22,4.5,12,NaN
No Light,36,27,6.5,18,NaN
Light,33,28,6,14,NaN
No Light,24,21,4.5,12,NaN
Light,16,15,4,8.5,NaN
No Light,39,35,6,13,NaN
Light,26,25,5.5,12,NaN
No Light,30,26,6.5,12,NaN
Light,45,37,8,19,NaN
No Light,43,33,6,13,NaN
Light,19,18,5,8,NaN
No Light,40,41,5,14,NaN
No Light,39,24,9,21,6
No Light,22,24,5,11.5,5
Light,24,18,6,9,28
Light,38,27,6,15,41
No Light,34,23,5,16,3
No Light,22,22,4,11,2
Light,36,30,8,15,67
Light,35,34,6,16,80
No Light,25,24,5,11,2
No Light,25,20,4,7,1
Light,14,14,4,8,32
Light,47,35,5,17,54
No Light,38,35,5,10,4
No Light,26,22,6,9,3
Light,23,17,4,7,16
Light,23,17,4,7,52
Light,30,22,5,10,25
Light,24,24,4.5,10,13
No Light,40,26,5,18,23
No Light,28,27,5,11,17
No Light,21,11,3.5,7,4
No Light,22,23,5,11,12
Light,21,16,4.5,11,48
Light,22,13,4,11,24
Light,19,20,5,9,62
Light,25,16,4,10,81
No Light,31,27,5,16,4
No Light,38,26,6,17,12
Light,13,10,3.5,6,19
Light,22,33,5,16,22
No Light,28,21,4,10,3
No Light,15,18,3,6,2
No Light,21,20,4,5,4
Light,25,19,4,12,6
Light,27,20,6.5,12,43
No Light,36,26,5.5,13,9
Light,22,19,5,9,57
No Light,26,20,4,9,11
Light,25,22,6,10,32
No Light,34,28,4.5,14,3
Light,23,21,5,10,14
No Light,25,21,4.5,10,3
No Light,51,43,8,21,31
Light,33,27,6,13,NA
No Light,44,37,6,18,19
Light,27,19,4,13,12
No Light,33,30,5,12,7
Light,27,25,4,11,27
No Light,35,30,6,16,7
Light,37,23,5,17,30
No Light,39,32,6,13,10
No Light,30,21,4,12,3
Light,28,22,5,10,112
Light,24,16,5,14,22
